uid,month,runtime_hours,water_yield_liters,power_consumed_KVA
865357060803697,2025-08,0.06666666666666667,700.0,17.373046950185028
865357060803697,2025-09,148.48333333333332,1559075.0,125.22837035274128
865357060803697,2025-10,65.45,687225.0,37.113942069379526
865357060803705,2025-08,0.0,0.0,12.601920550646824
865357060803713,2025-07,0.0,0.0,2.805922308261581
865357060803713,2025-08,0.0,0.0,0.0
865357060803721,2025-08,30.483333333333334,320075.0,159.69115847601998
865357060803721,2025-09,50.766666666666666,533050.0,267.7380851879113
865357060803721,2025-10,9.766666666666667,102550.0,54.03384603828658
865357060803747,2025-07,0.0,0.0,3.191592288080251
865357060803747,2025-08,4.583333333333333,48125.0,124.81165817344919
865357060803762,2025-08,87.4,917700.0,308.17843083322686
865357060803762,2025-09,79.28333333333333,832475.0,217.88575620925752
865357060803762,2025-10,25.05,263025.0,72.66794144643559
865357060803770,2025-08,0.0,0.0,1.9773476919385764
865357060803788,2025-08,279.1166666666667,2930725.0,388.82564167499766
865357060803788,2025-09,612.05,6426525.0,824.3571688316196
865357060803788,2025-10,98.31666666666666,1032325.0,114.67290632125503
865357060803796,2025-08,63.1,662550.0,34.763279693382934
865357060803796,2025-09,69.6,730800.0,43.415219887350986
865357060803796,2025-10,14.566666666666666,152950.0,16.41464550333025
865357060803820,2025-07,100.41666666666667,7742125.0,124.54867512583331
865357060803820,2025-08,149.83333333333334,11552150.0,183.7014048758
865357060803820,2025-09,0.0,0.0,0.0
865357060803820,2025-10,0.0,0.0,0.0
865357060803838,2025-07,18.65,195825.0,48.18673118706865
865357060803838,2025-08,87.6,919800.0,212.6409139138492
865357060803838,2025-09,91.46666666666667,960400.0,196.83558463961273
865357060803838,2025-10,11.266666666666667,118300.0,28.008416258927124
865357060803846,2025-08,3.7,38850.0,62.101950395041115
865357060803846,2025-09,201.56666666666666,2116450.0,453.3898754980787
865357060803846,2025-10,36.416666666666664,382375.0,76.38819413100381
865357060803861,2025-08,0.13333333333333333,1400.0,9.321146890985748
865357060803861,2025-09,0.0,0.0,0.0
865357060803861,2025-10,0.0,0.0,0.0
865357060803879,2025-07,0.016666666666666666,175.0,2.8451821265664754
865357060803879,2025-08,520.2,5462100.0,1240.2780318447672
865357060803879,2025-09,520.4166666666666,5464375.0,1344.1714237400724
865357060803879,2025-10,87.35,917175.0,262.7275701217581
865357060803887,2025-09,0.0,0.0,2.9721991857881935
865357060803895,2025-07,2.816666666666667,29575.0,41.83210620422406
865357060803895,2025-08,61.05,641025.0,377.45661413418736
865357060803895,2025-09,51.13333333333333,536900.0,312.9273869824282
865357060803895,2025-10,14.25,149625.0,68.58509354780732
865357060803911,2025-07,191.95,2015475.0,227.5087418209756
865357060803911,2025-08,268.53333333333336,2819600.0,250.01089158260535
865357060803911,2025-09,0.0,0.0,0.0
865357060803911,2025-10,0.0,0.0,0.0
865357060803929,2025-08,37.916666666666664,398125.0,103.91057768831813
865357060803929,2025-09,286.43333333333334,3007550.0,294.9486803548543
865357060803929,2025-10,94.83333333333333,995750.0,104.71451869315572
865357060803937,2025-09,0.0,0.0,2.868622547495575
865357060803945,2025-08,11.833333333333334,124250.0,84.16941313899801
865357060803945,2025-09,0.0,0.0,0.0
865357060803945,2025-10,0.0,0.0,0.0
865357060803960,2025-08,302.28333333333336,3173975.0,678.7738913484005
865357060803960,2025-09,484.01666666666665,5082175.0,936.6747939747245
865357060803960,2025-10,94.18333333333334,988925.0,172.99929387593957
865357060803978,2025-07,350.5,3680250.0,371.3186879523786
865357060803978,2025-08,481.9,5059950.0,526.1546193396484
865357060803978,2025-09,0.0,0.0,0.0
865357060803978,2025-10,0.0,0.0,0.0
865357060803986,2025-08,11.7,122850.0,28.72650527873621
865357060803994,2025-08,350.1333333333333,3676400.0,916.5494413112766
865357060803994,2025-09,506.9166666666667,5322625.0,1172.9278905227563
865357060803994,2025-10,105.21666666666667,1104775.0,212.8567851794992
865357060804000,2025-07,0.0,0.0,2.738757226945854
865357060804000,2025-08,19.4,203700.0,67.49844336115655
865357060804026,2025-08,72.96666666666667,766150.0,114.80596631329426
865357060804026,2025-09,203.71666666666667,2139025.0,189.54778841667695
865357060804026,2025-10,19.983333333333334,209825.0,39.972730417289895
865357060804034,2025-08,23.683333333333334,248675.0,107.04672510554721
865357060804059,2025-08,247.05,2594025.0,428.2332616488047
865357060804059,2025-09,404.21666666666664,4244275.0,705.4901784598724
865357060804059,2025-10,99.8,1047900.0,158.73110195839354
865357060804067,2025-08,0.0,0.0,0.0
865357060804083,2025-07,0.0,0.0,0.0
865357060804083,2025-08,0.03333333333333333,350.0,0.8363880899660376
865357060804091,2025-07,126.98333333333333,1333325.0,295.7568360166569
865357060804091,2025-08,106.98333333333333,1123325.0,228.6085940837818
865357060804117,2025-08,0.0,0.0,1.0604769744475044
865357060804117,2025-09,47.1,494550.0,319.5791356588067
865357060804117,2025-10,16.35,171675.0,48.936940126853656
865357060804125,2025-07,0.0,0.0,0.0
865357060804125,2025-08,6.933333333333334,72800.0,276.1510985954797
865357060804125,2025-09,9.316666666666666,97825.0,308.68882771619946
865357060804125,2025-10,1.9,19950.0,78.08922198410824
865357060804133,2025-07,98.08333333333333,1029875.0,96.64616415128452
865357060804133,2025-08,165.36666666666667,1736350.0,153.6634099705816
865357060804133,2025-09,0.0,0.0,5.959447968593264
865357060804133,2025-10,0.0,0.0,0.0
865357060804158,2025-09,0.0,0.0,3.1850682300384086
865357060804174,2025-07,4.133333333333334,43400.0,13.708797241728204
865357060804174,2025-08,35.68333333333333,374675.0,55.34294928365611
865357060804174,2025-09,76.86666666666666,807100.0,65.48810972383828
865357060804174,2025-10,15.233333333333333,159950.0,13.65298671570654
865357060804190,2025-07,0.0,0.0,3.108800259478458
865357060804190,2025-08,21.083333333333332,221375.0,71.25630079325799
865357060804190,2025-09,3.75,39375.0,31.98149062637348
865357060804208,2025-08,243.3,2554650.0,363.4476909775254
865357060804208,2025-09,383.4,4025700.0,515.2970664023132
865357060804208,2025-10,82.31666666666666,864325.0,92.16684982280374
865357060804216,2025-07,34.583333333333336,363125.0,132.1059976994358
865357060804216,2025-08,66.28333333333333,695975.0,153.14633506949536
865357060804232,2025-07,0.0,0.0,2.728018511938928
865357060804240,2025-08,333.0,3496500.0,195.43531778673815
865357060804257,2025-08,17.466666666666665,183400.0,87.71532528727994
865357060804257,2025-09,130.41666666666666,1369375.0,268.97015066236196
865357060804257,2025-10,13.666666666666666,143500.0,14.695103951593811
865357060804265,2025-08,84.73333333333333,889700.0,302.1664055001194
865357060804265,2025-09,83.88333333333334,880775.0,306.7240855051382
865357060804265,2025-10,12.883333333333333,135275.0,48.260574286498006
865357060804273,2025-08,64.43333333333334,676550.0,31.051263872655156
865357060804281,2025-07,0.0,0.0,2.9036869538443577
865357060804281,2025-08,22.416666666666668,235375.0,342.1952736085835
865357060804281,2025-09,28.333333333333332,297500.0,381.8218440494763
865357060804281,2025-10,6.916666666666667,72625.0,86.13344328472729
865357060804299,2025-07,0.016666666666666666,175.0,0.0
865357060804299,2025-08,46.166666666666664,484750.0,705.3522494805629
865357060804299,2025-09,60.95,639975.0,937.5985544054279
865357060804299,2025-10,11.55,121275.0,201.98433660521889
865357060804307,2025-08,424.05,4452525.0,1271.1646161756405
865357060804307,2025-09,465.1166666666667,4883725.0,1305.680212603541
865357060804307,2025-10,111.23333333333333,1167950.0,236.9947799488419
865357060804323,2025-08,43.13333333333333,452900.0,225.15113199673976
865357060804323,2025-09,0.0,0.0,0.0
865357060804323,2025-10,0.0,0.0,0.0
865357060804356,2025-07,10.083333333333334,105875.0,3.424091241482913
865357060804356,2025-08,0.0,0.0,0.0
865357060804356,2025-09,0.0,0.0,0.0
865357060804356,2025-10,0.0,0.0,0.0
865357060804372,2025-08,69.98333333333333,734825.0,380.28258974179874
865357060804372,2025-09,148.41666666666666,1558375.0,547.6016614843342
865357060804372,2025-10,34.55,362775.0,106.35694549393739
865357060804380,2025-08,1496.6333333333334,15714650.0,969.3731034503148
865357060804380,2025-09,1737.8,18246900.0,1068.9682765515752
865357060804380,2025-10,381.8833333333333,4009775.0,235.77085511318683
865357060804398,2025-07,0.0,0.0,0.0
865357060804398,2025-08,82.86666666666666,870100.0,219.69413272241323
865357060804406,2025-08,54.96666666666667,577150.0,449.47035999060415
865357060804406,2025-09,61.38333333333333,644525.0,429.1205142974864
865357060804406,2025-10,1.8333333333333333,19250.0,22.109436108526985
865357060804414,2025-08,649.9666666666667,6824650.0,763.9546104639202
865357060804414,2025-09,755.6333333333333,7934150.0,782.5202706201612
865357060804414,2025-10,159.66666666666666,1676500.0,162.17701704005182
865357060804422,2025-08,202.98333333333332,2131325.0,289.167364189315
865357060804430,2025-08,431.1333333333333,4526900.0,756.9241007659442
865357060804430,2025-09,662.5666666666667,6956950.0,984.5676153847576
865357060804430,2025-10,138.48333333333332,1454075.0,200.13098450609326
865357060804448,2025-07,0.0,0.0,3.057647025628258
865357060804455,2025-07,0.0,0.0,2.6500377355803817
865357060804455,2025-08,265.45,2787225.0,215.73812867792594
865357060804463,2025-07,21.233333333333334,222950.0,108.69276996801581
865357060804463,2025-08,346.31666666666666,3636325.0,802.0426001724494
865357060804463,2025-09,277.8333333333333,2917250.0,632.8350156993948
865357060804463,2025-10,62.71666666666667,658525.0,141.23269301975847
865357060804471,2025-07,0.0,0.0,0.0
865357060804471,2025-08,7.9,82950.0,106.34002913105014
865357060804471,2025-09,26.666666666666668,280000.0,134.1919642220179
865357060804471,2025-10,4.75,49875.0,32.39418059879022
865357060804489,2025-07,10.166666666666666,106750.0,76.37297132890617
865357060804489,2025-08,45.53333333333333,478100.0,207.9144551801373
865357060804489,2025-09,54.416666666666664,571375.0,262.35927838504205
865357060804489,2025-10,11.733333333333333,123200.0,64.0041270819312
865357060804497,2025-07,0.0,0.0,0.0
865357060804497,2025-08,0.18333333333333332,1925.0,34.6682670840833
865357060804497,2025-09,11.3,118650.0,194.44593187543686
865357060804497,2025-10,1.2333333333333334,12950.0,20.4888908829476
865357060804505,2025-08,0.016666666666666666,175.0,0.0
865357060804521,2025-08,251.8,2643900.0,574.1366028762535
865357060804521,2025-09,282.26666666666665,2963800.0,775.8890178783389
865357060804521,2025-10,79.16666666666667,831250.0,171.50004994191693
865357060804539,2025-08,138.31666666666666,1452325.0,410.6736535816356
865357060804539,2025-09,4.566666666666666,47950.0,49.68636002127076
865357060804539,2025-10,0.0,0.0,0.0
865357060804547,2025-08,0.016666666666666666,175.0,5.515427121568495
865357060804547,2025-09,0.0,0.0,0.0
865357060804547,2025-10,0.6166666666666667,6475.0,5.30250034229136
865357060804554,2025-08,217.63333333333333,2285150.0,254.8184680291384
865357060804554,2025-09,226.83333333333334,2381750.0,279.38091147138033
865357060804554,2025-10,72.03333333333333,756350.0,63.786350560392876
865357060804570,2025-07,0.0,0.0,2.8661976763649784
865357060804570,2025-08,82.51666666666667,866425.0,77.5922388723898
865357060804570,2025-09,146.15,1534575.0,115.22173548714669
865357060804570,2025-10,43.266666666666666,454300.0,62.46312147843717
865357060804588,2025-07,0.0,0.0,0.0
865357060804588,2025-08,0.08333333333333333,875.0,11.152271004747568
865357060804588,2025-09,0.0,0.0,0.0
865357060804588,2025-10,0.0,0.0,0.0
865357060804604,2025-08,80.2,842100.0,69.40137060339659
865357060804604,2025-10,1.2666666666666666,13300.0,4.45829877868229
865357060804620,2025-07,0.0,0.0,0.0
865357060804620,2025-08,124.1,1303050.0,203.94295890342676
865357060804620,2025-09,69.1,725550.0,38.7869299444103
865357060804620,2025-10,0.0,0.0,0.0
865357060804638,2025-07,0.0,0.0,0.0
865357060804638,2025-08,0.05,525.0,6.63098331169669
865357060804653,2025-07,0.0,0.0,2.7207054085291924
865357060804661,2025-07,73.96666666666667,776650.0,259.2713782053083
865357060804661,2025-08,100.85,1058925.0,289.68001273833744
865357060804661,2025-09,111.03333333333333,1165850.0,271.19418087931626
865357060804661,2025-10,33.083333333333336,347375.0,70.15721833081066
865357060804729,2025-08,41.81666666666667,439075.0,183.28734850774615
865357060804729,2025-09,54.36666666666667,570850.0,180.13888428477438
865357060804729,2025-10,4.95,51975.0,20.948923577437895
865357060804737,2025-08,129.46666666666667,1359400.0,195.26342136659142
865357060804737,2025-09,194.0,2037000.0,246.30060781268514
865357060804737,2025-10,16.916666666666668,177625.0,11.948052125780602
865357060804752,2025-08,0.0,0.0,2.754153234124244
865357060804752,2025-09,0.16666666666666666,1750.0,16.861437631647128
865357060804760,2025-08,0.0,0.0,0.0
865357060804760,2025-09,42.25,443625.0,96.26509372861041
865357060804760,2025-10,10.683333333333334,112175.0,34.15532985992626
865357060804778,2025-08,30.45,319725.0,82.23786856841515
865357060804778,2025-09,74.41666666666667,781375.0,423.84320567194067
865357060804778,2025-10,28.716666666666665,301525.0,88.38451273928867
865357060804786,2025-08,47.65,500325.0,168.30826520374694
865357060804786,2025-09,47.86666666666667,502600.0,207.24445943775171
865357060804786,2025-10,7.033333333333333,73850.0,50.44624920056917
865357060804794,2025-07,15.183333333333334,159425.0,67.55379200696287
865357060804794,2025-08,369.98333333333335,3884825.0,577.4233617337052
865357060804794,2025-09,333.1666666666667,3498250.0,499.9330444288363
865357060804794,2025-10,58.13333333333333,610400.0,99.86720130309347
865357060804802,2025-08,24.683333333333334,259175.0,129.9219586111273
865357060804802,2025-09,76.55,803775.0,440.61761737301197
865357060804802,2025-10,19.616666666666667,205975.0,133.65968576384302
865357060804836,2025-08,207.01666666666668,2173675.0,96.16730983801867
865357060804836,2025-09,150.96666666666667,1585150.0,105.13650400490641
865357060804836,2025-10,24.45,256725.0,15.777000621028254
865357060804844,2025-09,0.0,0.0,0.0
865357060804851,2025-08,132.31666666666666,1389325.0,285.2792372914754
865357060804851,2025-09,273.5833333333333,2872625.0,464.8775485192075
865357060804851,2025-10,74.98333333333333,787325.0,107.17485837528936
865357060804869,2025-08,13.383333333333333,140525.0,93.98750465168425
865357060804869,2025-09,20.783333333333335,218225.0,122.30769005597378
865357060804869,2025-10,20.016666666666666,210175.0,105.46694080897261
865357060804893,2025-07,0.0,0.0,2.857537422327134
865357060804893,2025-08,81.7,857850.0,326.1023661652637
865357060804893,2025-09,111.56666666666666,1171450.0,390.6958139119657
865357060804893,2025-10,18.183333333333334,190925.0,76.81050660790706
865357060804919,2025-07,318.3,3342150.0,211.41042653013434
865357060804919,2025-08,322.51666666666665,3386425.0,263.893913890566
865357060804919,2025-09,0.0,0.0,0.0
865357060804919,2025-10,0.0,0.0,0.0
865357060804927,2025-07,77.81666666666666,817075.0,195.7746072949319
865357060804927,2025-08,54.06666666666667,567700.0,142.40904419323232
865357060804943,2025-08,0.0,0.0,0.0
865357060804950,2025-07,12.716666666666667,133525.0,79.26516901239367
865357060804950,2025-08,220.73333333333332,2317700.0,417.6884401072806
865357060804950,2025-09,356.03333333333336,3738350.0,451.0888844902414
865357060804950,2025-10,43.31666666666667,454825.0,71.14987589363736
865357060804968,2025-07,0.0,0.0,3.118057108794466
865357060804976,2025-07,0.016666666666666666,175.0,1.3034259677224989
865357060804984,2025-07,0.9,9450.0,9.761184021153111
