uid,total_resting_minutes
865357060803697,4938.95
865357060803705,0.2833333333333333
865357060803713,0.26666666666666666
865357060803721,54853.23333333334
865357060803747,4683.75
865357060803762,70427.58333333333
865357060803770,0.0
865357060803788,30828.35
865357060803796,28199.183333333334
865357060803820,19415.616666666665
865357060803838,52730.333333333336
865357060803846,25078.75
865357060803861,732.9333333333334
865357060803879,55108.11666666667
865357060803887,0.0
865357060803895,35461.183333333334
865357060803911,17013.966666666667
865357060803929,12593.033333333333
865357060803937,0.0
865357060803945,3239.7166666666667
865357060803960,24545.9
865357060803978,23203.166666666668
865357060803986,2981.616666666667
865357060803994,14285.016666666666
865357060804000,3032.116666666667
865357060804026,30856.86666666667
865357060804034,4440.866666666667
865357060804059,31682.866666666665
865357060804067,0.0
865357060804083,788.6833333333333
865357060804091,18995.433333333334
865357060804117,21522.05
865357060804125,43360.75
865357060804133,14827.033333333333
865357060804158,0.0
865357060804174,23431.566666666666
865357060804190,4880.483333333334
865357060804208,22848.166666666668
865357060804216,9556.45
865357060804232,0.0
865357060804240,4177.599999999999
865357060804257,9014.516666666666
865357060804265,19931.933333333334
865357060804273,2525.0333333333333
865357060804281,82968.53333333333
865357060804299,68481.66666666667
865357060804307,37229.76666666667
865357060804323,18588.033333333333
865357060804356,8.666666666666666
865357060804372,33254.73333333333
865357060804380,28562.5
865357060804398,4318.15
865357060804406,53868.85
865357060804414,19573.366666666665
865357060804422,15104.166666666668
865357060804430,15610.916666666666
865357060804448,0.55
865357060804455,1219.9166666666667
865357060804463,30902.083333333332
865357060804471,16676.583333333332
865357060804489,48267.71666666667
865357060804497,17818.416666666668
865357060804505,0.0
865357060804521,45702.46666666667
865357060804539,16164.05
865357060804547,1548.9166666666667
865357060804554,28166.083333333332
865357060804570,2978.55
865357060804588,516.8166666666666
865357060804604,80621.01666666666
865357060804620,11446.433333333332
865357060804638,983.05
865357060804653,0.0
865357060804661,85100.96666666667
865357060804729,25866.483333333334
865357060804737,34558.583333333336
865357060804752,626.1
865357060804760,9113.833333333334
865357060804778,58760.26666666667
865357060804786,44597.933333333334
865357060804794,31584.766666666666
865357060804802,29297.516666666666
865357060804836,1931.05
865357060804844,0.0
865357060804851,37124.88333333333
865357060804869,79486.71666666666
865357060804893,57728.316666666666
865357060804919,13027.283333333333
865357060804927,10881.833333333334
865357060804943,0.0
865357060804950,42837.25
865357060804968,0.5666666666666667
865357060804976,0.0
865357060804984,2566.2
865357060804992,31168.833333333332
865357060805007,23577.433333333334
865357060805015,12593.033333333333
865357060805023,29093.05
865357060805031,73941.3
865357060805049,9990.75
865357060805072,8567.166666666666
865357060805080,26255.583333333332
865357060805106,0.0
865357060805114,31767.11666666667
865357060805122,6967.2
865357060805130,0.0
865357060805155,0.0
865357060805163,16778.533333333333
865357060805171,24108.766666666666
865357060805189,0.0
865357060805197,23980.933333333334
865357060805205,5364.35
865357060805213,15482.75
865357060805239,282.51666666666665
865357060805247,15908.616666666667
865357060805254,50292.083333333336
865357060805262,41773.23333333333
865357060805270,30124.583333333332
865357060805288,14784.3
865357060805304,510.29999999999995
865357060805338,16370.566666666668
865357060805346,23037.133333333335
865357060805379,1260.6
865357060805395,0.0
865357060805411,14624.233333333334
865357060805429,35445.066666666666
865357060805437,1.3666666666666667
865357060805452,0.0
865357060805460,42587.86666666667
865357060805486,36614.083333333336
865357060805536,31800.85
865357060805544,12432.483333333334
865357060805551,30759.233333333334
865357060805569,15552.866666666667
865357060805585,17391.65
865357060805593,25725.45
865357060805619,39668.03333333334
865357060805627,902.55
865357060805635,23067.166666666668
865357060805650,22637.216666666667
865357060805676,0.0
865357060805684,18523.9
865357060805700,8026.266666666666
865357060805734,55468.96666666667
865357060805742,8344.666666666666
865357060805759,77991.68333333333
865357060805767,39032.916666666664
865357060805775,55900.75
865357060805809,87808.3
865357060805817,3091.45
865357060805825,27811.45
865357060805841,1799.1
865357060805858,25646.38333333333
865357060805866,0.0
865357060805874,41577.75
865357060805882,52640.5
865357060805890,41864.28333333333
865357060805924,0.0
865357060805932,362.16666666666663
865357060805940,190.85000000000002
865357060805973,17398.816666666666
865357060805981,46734.36666666667
865357060805999,2684.383333333333
865357060806005,9389.2
865357060806013,0.0
865357060806021,4790.366666666667
865357060806039,41700.333333333336
865357060806047,27246.316666666666
865357060806054,56995.48333333333
865357060806070,39997.36666666667
865357060806088,17821.266666666666
865357060806096,13647.766666666666
865357060806104,17756.2
865357060806112,41236.35
865357060806120,2414.6
865357060806138,0.0
865357060806146,12012.633333333333
865357060806153,49660.1
865357060806179,43109.73333333333
865357060806187,63654.55
865357062660814,16093.783333333335
865357062660913,0.0
865357062661085,21838.416666666668
865357062661093,26480.766666666666
865357062661192,8626.583333333334
