uid,total_runtime_minutes
865357060803697,24390.81666666667
865357060803705,4063.1833333333334
865357060803713,0.5666666666666667
865357060803721,4982.866666666667
865357060803747,6216.65
865357060803762,13065.533333333333
865357060803770,14513.366666666665
865357060803788,24214.083333333332
865357060803796,12908.583333333334
865357060803820,12978.6
865357060803838,9474.383333333333
865357060803846,47572.4
865357060803861,11464.916666666666
865357060803879,12354.716666666667
865357060803887,0.0
865357060803895,7286.116666666667
865357060803911,19806.833333333332
865357060803929,67066.05
865357060803937,0.3333333333333333
865357060803945,397.0
865357060803960,35814.2
865357060803978,19703.45
865357060803986,706.1666666666666
865357060803994,43658.2
865357060804000,1933.3
865357060804026,34965.183333333334
865357060804034,970.7833333333333
865357060804059,29333.333333333332
865357060804067,0.0
865357060804083,2.75
865357060804091,7105.45
865357060804117,42692.99999999999
865357060804125,6896.166666666667
865357060804133,49145.61666666667
865357060804158,0.31666666666666665
865357060804174,6990.666666666667
865357060804190,21552.2
865357060804208,26484.583333333332
865357060804216,4285.833333333333
865357060804232,0.55
865357060804240,13830.366666666667
865357060804257,10524.133333333333
865357060804265,12211.983333333334
865357060804273,2755.2166666666667
865357060804281,2325.883333333333
865357060804299,3168.0666666666666
865357060804307,30787.516666666666
865357060804323,1102.45
865357060804356,3953.1666666666665
865357060804372,14926.466666666667
865357060804380,52542.333333333336
865357060804398,17564.75
865357060804406,7568.866666666667
865357060804414,53225.95
865357060804422,12577.033333333333
865357060804430,47365.03333333333
865357060804448,0.8333333333333334
865357060804455,19321.683333333334
865357060804463,32021.216666666667
865357060804471,22780.38333333333
865357060804489,5320.933333333333
865357060804497,6402.116666666666
865357060804505,1.1
865357060804521,23159.133333333335
865357060804539,7450.433333333333
865357060804547,17459.38333333333
865357060804554,31620.61666666667
865357060804570,79574.68333333333
865357060804588,5702.783333333333
865357060804604,4109.783333333334
865357060804620,35972.916666666664
865357060804638,6987.516666666666
865357060804653,0.26666666666666666
865357060804661,15777.2
865357060804729,55655.166666666664
865357060804737,54291.183333333334
865357060804752,35906.61666666667
865357060804760,34748.13333333333
865357060804778,7024.633333333333
865357060804786,4136.216666666667
865357060804794,32927.46666666667
865357060804802,4569.533333333333
865357060804836,92157.93333333333
865357060804844,0.0
865357060804851,17619.066666666666
865357060804869,2016.0833333333333
865357060804893,7588.416666666667
865357060804919,26583.783333333333
865357060804927,4410.683333333333
865357060804943,0.0
865357060804950,28832.45
865357060804968,0.55
865357060804976,1.1
865357060804984,524.7666666666667
865357060804992,30461.95
865357060805007,29303.816666666666
865357060805015,70823.35
865357060805023,31472.35
865357060805031,1752.65
865357060805049,9450.35
865357060805072,13.833333333333334
865357060805080,1480.2833333333333
865357060805106,0.3333333333333333
865357060805114,20781.4
865357060805122,74220.15
865357060805130,1401.8166666666666
865357060805155,0.0
865357060805163,61454.13333333333
865357060805171,23358.85
865357060805189,0.0
865357060805197,63694.8
865357060805205,33958.833333333336
865357060805213,60746.25
865357060805239,47678.049999999996
865357060805247,1861.8833333333332
865357060805254,17825.05
865357060805262,9775.533333333333
865357060805270,24590.3
865357060805288,18376.966666666667
865357060805304,10.516666666666666
865357060805338,48315.916666666664
865357060805346,39638.26666666667
865357060805379,20856.216666666667
865357060805395,1.3833333333333333
865357060805411,27690.066666666666
865357060805429,30540.583333333332
865357060805437,4797.466666666667
865357060805452,0.0
865357060805460,25353.066666666666
865357060805486,23702.683333333334
865357060805536,30667.333333333332
865357060805544,13116.583333333334
865357060805551,33258.6
865357060805569,2554.75
865357060805585,2470.8333333333335
865357060805593,22732.95
865357060805619,11288.0
865357060805627,78393.84999999999
865357060805635,18544.316666666666
865357060805650,64649.833333333336
865357060805676,0.55
865357060805684,18807.533333333333
865357060805700,7424.033333333333
865357060805734,27341.9
865357060805742,74549.38333333333
865357060805759,3868.2333333333336
